	Restaurant_Name	Address	Rating
9	12th Street Bar & Grill	1123 Eighth Ave.Brooklyn, NY 11215	12.0
0	Ulysses'	95 Pearl St.New York, NY 10004	12.0
1	Uncle Nick's	747 Ninth Ave.New York, NY 10019	12.0
2	Uncle Zhou	83-29 BroadwayElmhurst, NY 11373	12.0
3	Up on 20	Hyatt Herald Square New York30-32 W. 31st St.New York, NY 100	12.0
4	V Bar St. Marks	132 First Ave.New York, NY 10009	12.0
5	V-Nam Cafe	20 First Ave.New York, NY 10009	12.0
6	V & T Restaurant & Pizzeria	1024 Amsterdam Ave.New York, NY 10025	12.0
7	Vacca Grill & Lounge	416 W. 203rd St.New York, NY 10034	12.0
8	Vatan	409 Third Ave.New York, NY 10016	12.0
9	Verlaine	110 Rivington St.New York, NY 10002	12.0
0	Veselka	144 Second Ave.New York, NY 10003	12.0
1	Vintry Wine & Whiskey	57 Stone St.New York, NY 10004	12.0
2	Weather Up	159 Duane St.New York, NY 100	12.0
3	White Horse Tavern	567 Hudson St.New York, NY 100	12.0
4	WonJo	23 W. 32nd St.New York, NY 10001	12.0
5	Woo Chon	8-10 W. 36th St.New York, NY 10018	12.0
6	Yuva	230 E. 58th St.New York, NY 100	12.0
7	Zengo	622 Third Ave.New York, NY 10017	12.0
8	Zlata Praha	28-48 31st St.Astoria, NY 11102	12.0
0	44 & X	622 10th Ave.New York, NY 10036	13.0
1	456 Shanghai Cuisine	69 Mott St.New York, NY 10013	13.0
2	Abigail	807 Classon St.Brooklyn, NY 11238	13.0
3	Above	Hilton Times Square234 W. 42nd St., 21st Fl.New York, NY 10036	13.0
4	Acappella	1 Hudson St.New York, NY 100	13.0
5	Against the Grain	620 E. Sixth St.New York, NY 10009	13.0
