	Restaurant_Name	Address	Rating
0	Janta Indian Cuisine	369 Lytton Ave.Palo Alto, CA 94301	13.0
1	Jason's Restaurant	300 Drakes Landing Rd.Greenbrae, CA 94904	13.0
2	Jasper's Corner Tap & Kitchen	Serrano Hotel401 Taylor St.San Francisco, CA 94102	13.0
3	Jayakarta Restaurant	2026 University Ave.Berkeley, CA 94704	13.0
4	Jeanne d'Arc	Cornell Hotel de France715 Bush St.San Francisco, CA 94108	13.0
5	Jitlada	1826 Buchanan St.San Francisco, CA 94115	13.0
6	John Bentley's	2915 El Camino RealRedwood City, CA 94061	13.0
7	Jones	620 Jones St.San Francisco, CA 94102	13.0
8	Joshu-Ya Brasserie	2441 Dwight WayBerkeley, CA 94704	13.0
9	Kamikaze	Montecito Center223 Third St.San Rafael, CA 94901	13.0
0	Kathmandu	1410 Solano Ave.Albany, CA 94706	13.0
1	Khan Toke Thai House	5937 Geary Blvd.San Francisco, CA 94121	13.0
2	Kincaid's Bayhouse	60 Bayview PlaceBurlingame, CA 94010	13.0
3	Kincaid's Bayhouse	1 Franklin St.Oakland, CA 94607	13.0
4	King of Thai Noodle House	639 Clement St.San Francisco, CA 94118	13.0
5	Kingfish	201 South B. St.San Mateo, CA 94401	13.0
6	Kubala's Kitchen (in the Tempest Bar)	431 Natoma St.San Francisco, CA 941	13.0
7	L'Osteria del Forno	519 Columbus Ave.San Francisco, CA 94133	13.0
8	La Bodeguita del Medio 	463 S. California Ave.Palo Alto, CA 94306	13.0
9	La Note	2377 Shattuck Ave.Berkeley, CA 94704	13.0
0	La Traviata	2854 Mission St.San Francisco, CA 94110	13.0
1	La Urbana	661 Divisadero St.San Francisco, CA 94117	13.0
2	Lake Chalet Seafood Bar & Grill	1520 Lakeside Dr.Oakland, CA 946	13.0
3	LaLola Bar de Tapas	1358 Mason St.San Francisco, CA 94133	13.0
4	La Lanterna	180 W. 25th Ave.San Mateo, CA 94403	13.0
